11/17 11:08:36 PM Epoch 41 lr 2.179405e-03
11/18 12:49:52 AM Train_Acc Model 1 96.150000
11/18 12:49:52 AM Train_Acc Model 2 96.450000
11/18 12:51:35 AM Valid_Acc Model 1 67.350000
11/18 12:51:35 AM Valid_Acc Model 2 66.750000

11/18 12:51:36 AM Epoch 42 lr 1.878743e-03
11/18 02:32:37 AM Train_Acc Model 1 96.150000
11/18 02:32:37 AM Train_Acc Model 2 95.400000
11/18 02:34:20 AM Valid_Acc Model 1 66.350000
11/18 02:34:20 AM Valid_Acc Model 2 67.350000

11/18 02:34:21 AM Epoch 43 lr 1.621774e-03
11/18 04:16:24 AM Train_Acc Model 1 96.900000
11/18 04:16:24 AM Train_Acc Model 2 97.200000
11/18 04:18:09 AM Valid_Acc Model 1 65.400000
11/18 04:18:09 AM Valid_Acc Model 2 66.600000

11/18 04:18:09 AM Epoch 44 lr 1.409344e-03
11/18 05:58:49 AM Train_Acc Model 1 97.500000
11/18 05:58:49 AM Train_Acc Model 2 97.600000
11/18 06:00:30 AM Valid_Acc Model 1 68.750000
11/18 06:00:30 AM Valid_Acc Model 2 68.850000

11/18 06:00:30 AM Epoch 45 lr 1.241998e-03
11/18 07:40:14 AM Train_Acc Model 1 97.000000
11/18 07:40:14 AM Train_Acc Model 2 97.550000
11/18 07:41:57 AM Valid_Acc Model 1 67.950000
11/18 07:41:57 AM Valid_Acc Model 2 67.950000

11/18 07:41:58 AM Epoch 46 lr 1.119837e-03
11/18 09:21:06 AM Train_Acc Model 1 97.550000
11/18 09:21:06 AM Train_Acc Model 2 97.300000
11/18 09:22:43 AM Valid_Acc Model 1 68.950000
11/18 09:22:43 AM Valid_Acc Model 2 68.700000

11/18 09:22:44 AM Epoch 47 lr 1.042124e-03
11/18 11:01:19 AM Train_Acc Model 1 97.800000
11/18 11:01:19 AM Train_Acc Model 2 98.350000
11/18 11:03:02 AM Valid_Acc Model 1 66.400000
11/18 11:03:02 AM Valid_Acc Model 2 64.550000

11/18 11:03:02 AM Epoch 48 lr 1.005926e-03
11/18 12:42:00 PM Train_Acc Model 1 97.750000
11/18 12:42:00 PM Train_Acc Model 2 97.550000
11/18 12:43:44 PM Valid_Acc Model 1 65.350000
11/18 12:43:44 PM Valid_Acc Model 2 64.800000

11/18 12:43:45 PM Epoch 49 lr 1.000000e-03
11/18 02:22:11 PM Train_Acc Model 1 98.500000
11/18 02:22:11 PM Train_Acc Model 2 97.950000
11/18 02:23:50 PM Valid_Acc Model 1 66.100000
11/18 02:23:50 PM Valid_Acc Model 2 66.500000
